Datetime,Temperature,Rainfall,Humidity,Wind speed avg,Wind direction avg
9/08/2014 9:00,,0,,2.7,NE
9/08/2014 10:00,,0,,2.8,ENE
9/08/2014 11:00,,0,,2.9,E
9/08/2014 12:00,,0,,2.4,ENE
9/08/2014 13:00,,0,,2.5,NE
9/08/2014 14:00,,0,,2.4,NE
9/08/2014 15:00,,0,,3.9,NE
9/08/2014 16:00,,0,,3,NE
9/08/2014 17:00,,0,,3.1,ENE
9/08/2014 18:00,,0,,4.5,ENE
9/08/2014 19:00,,0,,3.3,E
9/08/2014 20:00,,0,,3.6,ENE
9/08/2014 21:00,,0,,2.9,ENE
9/08/2014 22:00,,0,,3.8,NE
9/08/2014 23:00,,0,,2.1,ENE
10/08/2014 0:00,,0,,3.9,ENE
24/07/2015 1:00,25.6,0,89,1.9,SSE
24/07/2015 2:00,25.6,0,88,1.5,S
24/07/2015 3:00,25.2,0,93,1.5,S
24/07/2015 4:00,25.5,0,89,2.3,WNW
24/07/2015 5:00,26,0,88,1.8,N
24/07/2015 6:00,26.7,0,89,0.7,ENE
24/07/2015 7:00,28.5,0,77,1.6,N
24/07/2015 8:00,29.7,0,69,1.6,E
24/07/2015 9:00,31,0,68,0.6,WNW
24/07/2015 10:00,31.1,0,62,1.7,NW
24/07/2015 11:00,32.7,0,66,2.8,SE
24/07/2015 12:00,32.8,0,64,3.6,SSE
24/07/2015 13:00,33,0,58,3.3,SSE
24/07/2015 14:00,29.4,0.5,81,2.2,S
24/07/2015 15:00,27.4,6.5,95,2.2,S
24/07/2015 16:00,28.1,0,93,2.2,SSW
24/07/2015 17:00,27.3,0,96,1.3,SSW
24/07/2015 18:00,28.2,0,80,3,ESE
24/07/2015 19:00,28.1,0,83,2,E
24/07/2015 20:00,26.5,0,93,1.9,SE
24/07/2015 21:00,27.5,0,82,2.9,SE
24/07/2015 22:00,25.8,0,94,1.7,SSE
24/07/2015 23:00,26,0,96,2.1,SSE
25/07/2015 0:00,25.6,0,95,1.8,SSW
25/07/2015 1:00,25.4,0,96,2.4,SSE
25/07/2015 2:00,25.2,0,98,1.7,SSW
25/07/2015 3:00,25.1,0,99,1.5,S
25/07/2015 4:00,24.8,0,98,1,SSE
25/07/2015 5:00,25.2,0,99,1.6,WNW
25/07/2015 6:00,26.4,0,93,0.7,NNE
25/07/2015 7:00,27.8,0,82,0.5,WNW
25/07/2015 8:00,28.2,0,80,1.3,WNW
25/07/2015 9:00,28.5,0,82,1.3,SSE
25/07/2015 10:00,30.7,0,69,2,SE
25/07/2015 11:00,31.7,0,64,1.8,SE
25/07/2015 12:00,32.4,0,64,3.8,SE
25/07/2015 13:00,31.4,0,66,4.5,SSE
25/07/2015 14:00,32.2,0,59,4.7,SE
25/07/2015 15:00,32.6,0,60,3.7,SSE
25/07/2015 16:00,32.4,0,62,3.7,SSE
25/07/2015 17:00,31.9,0,62,3.1,SE
25/07/2015 18:00,30.4,0,70,2.8,SSE
25/07/2015 19:00,28.8,0,78,1.7,SSE
25/07/2015 20:00,27.7,0,86,1.9,SSE
25/07/2015 21:00,27.7,0,86,1.8,S
25/07/2015 22:00,27.6,0,89,1.8,SE
25/07/2015 23:00,26.9,0,92,2,S
26/07/2015 0:00,26.5,0,93,2,S
26/07/2015 1:00,26.4,0,94,1.2,S
26/07/2015 2:00,26.1,0,97,0.9,SE
26/07/2015 3:00,26.1,0,98,1.5,S
26/07/2015 4:00,26.1,0,97,1.1,ENE
26/07/2015 5:00,26.5,0,91,2.1,NE
26/07/2015 6:00,27.5,0,88,0.8,NE
26/07/2015 7:00,29.5,0,77,1.8,NNW
26/07/2015 8:00,30.2,0,70,0.9,ESE
26/07/2015 9:00,31.9,0,65,1.2,NNE
26/07/2015 10:00,32.6,0,63,1.2,SSW
26/07/2015 11:00,34.2,0,60,2.3,SE
26/07/2015 12:00,34.3,0,56,3.2,SE
26/07/2015 13:00,34.3,0,50,3.7,SSE
26/07/2015 14:00,35.1,0,49,3.4,S
26/07/2015 15:00,34.7,0,50,4.1,SSE
26/07/2015 16:00,34.2,0,57,4.9,SSE
26/07/2015 17:00,32.7,0,64,4.1,SSE
26/07/2015 18:00,32.1,0,67,3.7,SSE
26/07/2015 19:00,31,0,68,3.5,SSE
26/07/2015 20:00,30.1,0,71,2.9,SSE
26/07/2015 21:00,29.3,0,68,2.5,SSE
26/07/2015 22:00,28.5,0,72,2.5,SSE
26/07/2015 23:00,27.8,0,75,2.8,S
27/07/2015 0:00,26.9,0,83,2,SSE
27/07/2015 1:00,26.3,0,87,1.4,SE
27/07/2015 2:00,26,0,90,1.1,SSE
27/07/2015 3:00,25.7,0,93,1.3,S
27/07/2015 4:00,26.9,0,83,2,NNW
27/07/2015 5:00,27.1,0,79,2.4,NNW
27/07/2015 6:00,28.1,0,75,1.8,NNW
27/07/2015 7:00,29.1,0,69,2.3,NNW
27/07/2015 8:00,30.7,0,60,2,N
27/07/2015 9:00,32.5,0,61,0.7,N
27/07/2015 10:00,32.8,0,57,2.1,SSW
27/07/2015 11:00,33.8,0,60,3.8,SSE
27/07/2015 12:00,33.8,0,58,3.8,SSE
27/07/2015 13:00,33.7,0,54,3.3,SSE
27/07/2015 14:00,34.2,0,56,4.2,SSE
27/07/2015 15:00,33.7,0,55,4.2,SSE
27/07/2015 16:00,33.4,0,58,3.5,SSE
27/07/2015 17:00,32.9,0,61,2.9,SSE
27/07/2015 18:00,32,0,59,4.7,S
27/07/2015 19:00,30.7,0,63,4.7,S
27/07/2015 20:00,30.4,0,64,2.8,SSW
27/07/2015 21:00,29.6,0,70,1.9,S
27/07/2015 22:00,29,0,76,2.5,SSE
27/07/2015 23:00,28.6,0,79,2.3,SE
28/07/2015 0:00,28.1,0,83,2,SSE
28/07/2015 1:00,27.4,0,85,1.9,SSE
28/07/2015 2:00,27.5,0,87,1.1,SE
28/07/2015 3:00,28.4,0,81,1.6,ENE
28/07/2015 4:00,27.4,0,87,1.4,ENE
28/07/2015 5:00,27.5,0,84,1.5,ENE
28/07/2015 6:00,27.6,0,82,2.2,NE
28/07/2015 7:00,28.7,0,77,2.2,NNE
28/07/2015 8:00,28.2,0,80,1.8,N
28/07/2015 9:00,29,0,75,1.1,NNW
28/07/2015 10:00,28.6,0,76,2.9,NNW
28/07/2015 11:00,30.4,0,65,4.3,NNE
28/07/2015 12:00,31.3,0,63,2.1,NNE
28/07/2015 13:00,32.9,0,57,2.6,NNE
28/07/2015 14:00,32.6,0,57,2.4,NE
28/07/2015 15:00,32.8,0,52,3,NE
28/07/2015 16:00,33.2,0,50,3.3,NE
28/07/2015 17:00,32.8,0,53,2.8,E
28/07/2015 18:00,31.1,0,65,3.5,SSE
28/07/2015 19:00,30.3,0,70,4.2,SSE
28/07/2015 20:00,29.9,0,72,3.9,SE
28/07/2015 21:00,29.4,0,76,3.2,ESE
28/07/2015 22:00,28.5,0,80,2.8,SSE
28/07/2015 23:00,28.1,0,82,2.5,SSE
29/07/2015 0:00,27.2,0,82,1.7,S
29/07/2015 1:00,28.3,0,75,1.4,ENE
29/07/2015 2:00,28.7,0,69,1.9,ENE
29/07/2015 3:00,28.1,0,71,1.8,ESE
29/07/2015 4:00,27.9,0,74,1.8,NNE
29/07/2015 5:00,27.5,0,78,1.9,NE
29/07/2015 6:00,27.4,0,73,2.2,NE
29/07/2015 7:00,28.2,0,72,1.4,N
29/07/2015 8:00,29.4,0,66,2,ENE
29/07/2015 9:00,29.9,0,71,1.8,NW
29/07/2015 10:00,29.6,0,68,1.8,NW
29/07/2015 11:00,31,0,57,1.4,ENE
29/07/2015 12:00,31.3,0,63,1.9,SE
29/07/2015 13:00,30.8,0,63,3,SSE
29/07/2015 14:00,31.8,0,59,2.6,SE
29/07/2015 15:00,31.3,0,60,4.4,SSE
29/07/2015 16:00,31.6,0,64,3.5,SSE
29/07/2015 17:00,31.1,0,65,3.4,ESE
29/07/2015 18:00,30,0,66,5.3,SE
29/07/2015 19:00,29.4,0,68,4.5,SE
29/07/2015 20:00,28.9,0,73,3.6,SE
29/07/2015 21:00,28.5,0,77,2.5,SSE
29/07/2015 22:00,28.2,0,80,2.8,SSE
29/07/2015 23:00,28,0,80,2.3,S
30/07/2015 0:00,27.7,0,83,1.5,SE
30/07/2015 1:00,27.6,0,86,0.6,SSE
30/07/2015 2:00,26.8,0,89,1.1,SW
30/07/2015 3:00,27.5,0,83,1.5,ENE
30/07/2015 4:00,27.4,0,84,2.2,ENE
30/07/2015 5:00,26.5,0,91,1.8,SSE
30/07/2015 6:00,27.5,0,90,0.7,S
30/07/2015 7:00,29.3,0,81,0.6,SSW
30/07/2015 8:00,29.3,0,78,1,W
30/07/2015 9:00,28.6,0,77,2.2,WNW
30/07/2015 10:00,31,0,65,1.2,S
30/07/2015 11:00,31,0,66,2.9,SE
30/07/2015 12:00,31.4,0,66,2.9,SSE
30/07/2015 13:00,33.4,0,48,3.6,SE
30/07/2015 14:00,31.1,0,58,3.9,S
30/07/2015 15:00,30.1,0,69,2.9,SSW
30/07/2015 16:00,30.1,0,79,3.2,S
30/07/2015 17:00,30.3,0,76,2.8,S
30/07/2015 18:00,30.2,0,74,3.1,S
30/07/2015 19:00,29.4,0,73,1.5,SSW
30/07/2015 20:00,28.9,0,73,2.7,SSE
30/07/2015 21:00,28.6,0,72,2.1,S
30/07/2015 22:00,28.2,0,74,2.1,SSE
30/07/2015 23:00,27.5,0,73,2.5,S
31/07/2015 0:00,26.8,0,79,1.2,S
31/07/2015 1:00,27.4,0,83,2.5,W
31/07/2015 2:00,26.8,0,88,1.8,W
31/07/2015 3:00,26.3,0,90,1.2,WSW
31/07/2015 4:00,26.5,0,91,2.3,WNW
31/07/2015 5:00,26.3,0,93,2.2,NW
31/07/2015 6:00,27,0,90,1.9,W
31/07/2015 7:00,28.9,0,79,0.9,W
31/07/2015 8:00,28.9,0,81,1.1,SSW
31/07/2015 9:00,29.3,0,80,0.8,WSW
31/07/2015 10:00,31.4,0,63,3,S
31/07/2015 11:00,33.1,0,56,3.6,SSE
31/07/2015 12:00,33.3,0,53,3.2,SSE
31/07/2015 13:00,34,0,44,3.5,SE
31/07/2015 14:00,34.3,0,47,3.7,SSE
31/07/2015 15:00,33.9,0,49,4.1,SSE
31/07/2015 16:00,33.6,0,55,4.9,SE
31/07/2015 17:00,32.6,0,59,3.7,SSE
31/07/2015 18:00,31.5,0,64,3.9,SSW
31/07/2015 19:00,30.5,0,66,3,SSW
31/07/2015 20:00,29.4,0,72,3.2,S
31/07/2015 21:00,29,0,76,2.9,SSW
31/07/2015 22:00,28.9,0,79,3.2,SSW
31/07/2015 23:00,28.3,0,83,2.4,S
1/08/2015 0:00,27.9,0,85,2.8,S
1/08/2015 1:00,27.7,0,86,1.7,S
1/08/2015 2:00,27.4,0,89,1.6,S
1/08/2015 3:00,26.9,0,93,1.7,SSW
1/08/2015 4:00,26.8,0,93,2,S
1/08/2015 5:00,27,0,94,1.6,SW
1/08/2015 6:00,27.9,0,90,2,S
1/08/2015 7:00,28.6,0,85,1.9,WSW
1/08/2015 8:00,30.6,0,79,0.7,S
1/08/2015 9:00,32.2,0,71,0.9,SW
1/08/2015 10:00,33.3,0,63,1,W
1/08/2015 11:00,33.5,0,66,3.3,SSE
1/08/2015 12:00,33.8,0,61,3,SSE
1/08/2015 13:00,34.5,0,59,3.2,S
